workload,n,axis,variant,trials
W2,100000,none,0.000000,40
W2,1000000,none,0.000000,40
W11,10000,width,64.000000,40
W11,10000,width,512.000000,40
W10,10000,hot_share,0.050000,40
W6,10000,zero_delta_share,0.100000,40
W1,1000,none,0.000000,20
W1,10000,none,0.000000,20
W1,100000,none,0.000000,20
W1,1000000,none,0.000000,20
W1,10000000,none,0.000000,20
W5,10000,none,0.000000,20
