workload,n,axis,variant,trials
W1,1000,none,0.000000,20
W1,10000,none,0.000000,20
W1,100000,none,0.000000,20
W1,1000000,none,0.000000,20
W1,10000000,none,0.000000,20
W5,1000,none,0.000000,20
W5,10000,none,0.000000,20
W5,100000,none,0.000000,20
W5,1000000,none,0.000000,20
W5,10000000,none,0.000000,20
W11,10000,width,1.000000,20
W11,10000,width,8.000000,20
W11,10000,width,64.000000,20
W11,10000,width,512.000000,20
W11,10000,width,4096.000000,20
W11,10000,width,10000.000000,20
